mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
5.235751551154653,3422934,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,9.0,30.0,488.0,535.0,89,0.6,42,0,2919095
2.8736900419138496,3326824,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,16.0,243.0,273.0,49,0.6,42,1,1543132
1.8536709590390543,2921539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,122.0,146.0,20,0.6,42,2,854896
1.4262110530143732,2399255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,62.0,78.0,14,0.6,42,3,511544
1.2056803321297282,2144945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,32.0,43.0,8,0.6,42,4,384640
1.0827029726491144,2100517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,24.0,3,0.6,42,5,321254
1.029973478306841,2269840,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,13.0,2,0.6,42,6,290401
1.012094972905495,2265404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,1,0.6,42,7,274704
1.0047579014088301,2189831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1,0.6,42,8,265351
1.001637848752266,2132065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.6,42,9,260818
1.0003791313948092,1978206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.6,42,10,257264
1.0,1936967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.6,42,11,260277
