mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
1.6797230593370052,1154760,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,23.0,36.0,41,0.01,42,0,289664
1.1833309582561433,399987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,14.0,14,0.01,42,2,72761
1.0942841035653883,218181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,9.0,8,0.01,42,3,36622
1.047517146776406,127575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,4,0.01,42,4,21345
1.0190671528410817,78984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2,0.01,42,5,13720
1.005986264644313,54458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.01,42,6,10026
1.001251534901294,42348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0.01,42,7,8128
1.000627915321134,33444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,0.01,42,8,7064
0,0,0,0.01,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.01,42,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
