workload,ws_gb,range_gb,min_offset,write_io_request_size_split,block_req_count,5_iat_popularity,20_iat_popularity,50_iat_popularity,read_page_working_set_size_gb
w66,3509,9,0,0.2938443497023351,9169632,23,574,1191,0.8310508728027344
w82,3584,9,0,0.4083971294604943,4926611,42,640,1272,0.8243522644042969
w59,21117,10,0,0.4979214568001732,10223137,31,439,1251,4.921966552734375
w80,10511,11,1208320,0.3268493021710711,5256247,24,993,3223,2.5213661193847656
w73,22108,11,0,0.3974359514632498,6368816,257,514,5921,5.372463226318359
w52,22087,12,0,0.4854889817429542,11451547,7,10,538,5.020549774169922
w71,23114,13,0,0.4378206368905251,6840777,6,9,542,5.172092437744141
w11,46868,17,0,0.3420075293330804,46173370,248,1026,5846,11.415557861328125
w84,40097,17,299008,0.9005120459992179,4814235,3,4,108,8.889984130859375
w103,22988,19,0,0.6368828132679915,3442095,328,427,828,4.993171691894531
w106,15955,20,0,0.7158457422128015,3275920,4,1363,3345,3.565807342529297
w99,69340,21,0,0.0622441165455475,3660841,0,0,1295,16.624652862548828
w74,7243,21,0,0.7656693235232924,6343763,10,27,262,1.0950584411621094
w72,11980,22,0,0.586895083314115,6407186,10,817,1245,2.0725784301757812
w94,56687,22,0,0.0529000918762933,4118189,15,20,51,13.83245849609375
w06,68256,23,0,0.2129150804155825,69392151,21,252,535,15.725639343261719
w95,18079,23,0,0.4770332659277856,3937241,14,364,812,3.7328567504882812
w61,79478,25,0,0.3126294451483208,9884692,6,9,23,18.32024383544922
w96,33527,25,0,0.9501103966942872,3787345,9,12,27,2.010387420654297
w81,76119,27,0,0.0975524248363849,5026620,55,180,1731,18.575408935546875
w19,45148,31,0,0.0230615876849477,31116217,7,8,14,10.082881927490234
w85,86926,32,0,0.0313857302615266,4790049,94,207,1420,21.140174865722656
w38,60703,33,0,0.4955215834151988,18535324,16,845,2211,13.703224182128906
w83,74144,35,0,0.3309785073788939,3880122,25,413,613,17.628646850585938
w60,57504,36,0,0.2643383329051558,9898836,40,927,3659,13.35634994506836
w76,21387,37,0,0.8740849215197822,6076273,10,262,476,1.9533653259277344
w75,33197,39,0,0.8383342499088918,6152625,5,341,1566,3.960845947265625
w69,68712,41,0,0.2438617100756849,7874007,14,1164,4144,16.214275360107422
w92,88996,41,0,0.0370858511998779,4284659,61,194,1688,21.723472595214844
w93,97688,41,0,0.0898787640810525,3350672,30,299,1011,22.111236572265625
w77,46083,41,0,0.3345192622349277,5616403,6,314,797,10.703937530517578
w105,57476,43,0,0.1044869628347641,3375345,97,441,1754,12.36624526977539
w44,61349,43,0,0.1232089131938392,12115874,203,240,502,14.076740264892578
w17,69723,43,0,0.8712068440073715,31398090,0,0,1517,16.37274932861328
w02,38887,48,299008,0.0092003262428739,122181001,3,6,820,9.469589233398438
w100,78653,52,28672,0.9808645656757788,3645878,3,4,6,7.494842529296875
w67,10849,52,0,0.6138314739106402,9028145,6,29,310,1.7690963745117188
w98,73131,52,28672,0.9803642875793154,3664419,3,3,6,7.3746490478515625
w101,84370,52,28672,0.9808718021358928,3587708,3,3,5,7.427906036376953
w97,76331,52,28672,0.9804178228967644,3768451,3,3,6,7.61627197265625
w78,43027,54,0,0.4535465171385048,5493107,62,255,606,10.31622314453125
w42,74162,54,0,0.3622633554842499,16894446,12,774,2601,17.180221557617188
w90,54752,54,0,0.0628863560027386,4493516,11,52,557,12.855499267578125
w88,15234,54,0,0.5306061724270649,4711054,7,24,552,2.281658172607422
w79,120517,56,0,0.5254644236782718,5411395,145,619,1611,27.62424087524414
w35,18225,57,107704320,0.9543916564381164,15415664,45,451,480,1.8070259094238281
w32,188397,65,0,0.1240319658353168,20776393,111,808,2100,45.83440017700195
w49,162995,65,0,0.2508400472190795,11150575,12,293,868,39.42802429199219
w58,105697,70,0,0.4629104364014639,10530696,8,59,744,17.62845230102539
w102,15673,71,106086400,0.935827892335138,3558216,11,56,250,1.3746490478515625
w63,186562,75,0,0.0916734354394914,9380317,19,27,1133,45.51575469970703
w45,5468,78,65536,0.9966325317183492,15064630,2,3,4,0.20585250854492188
w43,199215,83,28672,0.50337042340513,15617421,34,80,479,44.83504104614258
w47,5032,85,65536,0.997943010866796,14314718,2,3,4,0.16631698608398438
w33,26256,86,65536,0.972304122504983,19868347,2,3,4,0.7429428100585938
w36,23130,86,65536,0.972429617289184,18915626,2,3,4,0.7016487121582031
w41,17477,86,65536,0.9305680451732756,17004739,2,3,4,1.6564521789550781
w28,272499,87,0,0.5876673728696338,19739431,6,176,497,46.8056640625
w89,40199,92,0,0.607370358321346,3625776,12,206,308,6.692413330078125
w55,129944,95,0,0.3398171194404201,8854736,166,210,463,30.654457092285156
w23,189440,107,0,0.4009769315391779,27914471,8,31,942,43.542503356933594
w51,68095,108,0,0.1509301107921258,9551267,186,286,488,15.566814422607422
w62,147224,108,22859776,0.144754578326069,9497746,390,959,1844,35.55618667602539
w18,190760,108,1048576,0.1980293856303062,22466284,27,246,466,25.38641357421875
w24,268306,119,0,0.2116220840412424,27165371,0,734,1743,62.92505645751953
w16,235879,119,23441408,0.121952235377808,26702189,35,321,444,56.50156784057617
w68,19812,133,1048576,0.8983474486839874,8875972,25,285,531,2.5747108459472656
w37,193441,136,0,0.2344313542469046,18840689,11,370,1042,46.17207717895508
w07,514990,138,0,0.1559755038317195,67427406,14,320,1009,125.54114532470703
w22,253576,151,1048576,0.1355521648007276,22248592,226,334,554,57.75697708129883
w40,20506,172,0,0.9882028018345218,17657233,2,3,4,1.3185691833496094
w39,16750,172,0,0.9749829391704824,17920023,2,3,4,2.0981292724609375
w13,609561,180,94208,0.4107196680935041,39822878,19,80,452,147.97436141967773
w12,14193,189,0,0.6876815727168408,45355530,4,205,305,2.826568603515625
w34,321000,207,0,0.1629509377632376,19553552,9,21,583,77.82540893554688
w70,38234,207,0,0.8637535660571668,6928386,4,10,733,3.3404693603515625
w87,95693,221,0,0.56502416425601,3786600,9,84,1355,17.892189025878906
w50,158883,247,1191936,0.0335680148966026,13448033,5,6,8,35.392921447753906
w21,950672,251,0,0.0236649555025976,29416349,252,660,969,231.47605514526367
w104,175961,258,0,0.1555585150990554,3395554,0,0,1040,39.14094543457031
w57,15440,260,10391552,0.8972670177983383,10554726,2,3,383,2.6873245239257812
w56,14418,260,24395776,0.8654387371166826,10899630,2,3,354,2.6358680725097656
w91,54342,261,0,0.2445776789589365,4316606,9,227,478,12.78094482421875
w65,211427,269,118784,0.0302553274696226,9316230,8,126,920,50.506778717041016
w25,543104,312,0,0.1100753294494372,26569399,21,44,244,119.79187774658203
w26,212487,315,299008,0.4994459461293393,26532122,3,365,1566,46.53218460083008
w30,64538,352,0,0.9782682010292968,21390011,4,6,8,4.7534332275390625
w08,1346618,358,0,0.0348010650705436,44458414,0,59,665,326.20638275146484
w48,560690,463,1228800,0.0270160339865592,14097009,78,168,686,134.85897064208984
w86,282470,537,0,0.5591131787650704,4749564,13,368,1624,40.59275817871094
