workload,min_offset,range_gb
w08,0,358
w74,0,21
w73,0,11
w01,0,1193
w06,0,23
w33,65536,86
w99,0,21
w48,1228800,463
w34,0,207
w97,28672,52
w46,0,776
w90,0,54
w41,65536,86
w50,1191936,247
w81,0,27
w57,10391552,260
w86,0,537
w100,28672,52
w59,0,10
w88,0,54
w25,0,312
w22,1048576,151
w17,0,43
w10,2138112,1052
w62,22859776,108
w19,0,31
w65,118784,269
w91,0,261
w40,0,172
w96,0,25
w47,65536,85
w98,28672,52
w49,0,65
w35,107704320,57
w32,0,65
w07,0,138
w72,0,22
w09,0,633
w75,0,39
w18,1048576,108
w64,442368,677
w63,0,75
w11,0,17
w16,23441408,119
w23,0,107
w58,0,70
w89,0,92
w24,0,119
w56,24395776,260
w87,0,221
w101,28672,52
w106,0,20
w51,0,108
w80,1208320,11
w60,0,36
w67,0,52
w15,0,680
w69,0,41
w12,0,189
w27,178835456,1981
w20,0,905
w105,0,43
w52,0,12
w83,0,35
w55,0,95
w84,299008,17
w29,18747392,1939
w102,106086400,71
w95,0,23
w44,0,43
w38,0,33
w92,0,41
w43,28672,83
w31,0,967
w36,65536,86
w03,0,1026
w04,0,1019
w78,0,54
w76,0,37
w71,0,13
w54,1048576,36280
w85,0,32
w28,0,87
w103,0,19
w104,0,258
w53,0,1602
w82,0,9
w21,0,251
w26,299008,315
w13,94208,180
w14,0,633
w68,1048576,133
w66,0,9
w61,0,25
w70,0,207
w77,0,41
w05,1232896,974
w79,0,56
w02,299008,48
w37,0,136
w30,0,352
w93,0,41
w42,0,54
w94,0,22
w45,65536,78
w39,0,172
